step,vehicle_id,action,order_id,kind,service_start_h,service_end_h,tw_start_h,tw_end_h,late_min,passenger_ride_min
64,4,visit,23,PICKUP_PASSENGER,12.5398,12.5898,11.5499,12.5499,0.0,
65,4,visit,85,DELIVERY_PASSENGER,12.8042,12.8542,12.5086,14.5086,0.0,
66,4,visit,23,DELIVERY_PASSENGER,12.9449,12.9949,11.7753,13.7753,0.0,
67,4,visit,39,DELIVERY_PASSENGER,13.2408,13.2908,12.2,14.2,0.0,
68,4,visit,73,PICKUP_PASSENGER,13.5377,13.5877,13.205,14.205,0.0,
69,4,visit,41,PICKUP_PASSENGER,13.6392,13.6892,12.9154,13.9154,0.0,
70,4,visit,7,PICKUP_CARGO,13.7998,13.8498,10.8842,11.8842,114.94,
71,4,visit,41,DELIVERY_PASSENGER,13.9564,14.0064,13.1754,15.1754,0.0,
72,4,visit,12,PICKUP_CARGO,14.1417,14.1917,10.8616,11.8616,136.81,
73,4,visit,73,DELIVERY_PASSENGER,14.4729,14.5229,13.6636,15.6636,0.0,
74,4,visit,12,DELIVERY_CARGO,14.5313,14.5813,11.2007,13.2007,79.83,
75,4,visit,7,DELIVERY_CARGO,14.9803,15.0303,11.0482,13.0482,115.93,
77,5,visit,52,PICKUP_PASSENGER,11.8221,11.8721,11.8221,12.8221,0.0,
78,5,visit,77,PICKUP_PASSENGER,11.8964,11.9464,11.78,12.78,0.0,
79,5,visit,38,PICKUP_PASSENGER,11.9909,12.0409,11.75,12.75,0.0,
80,5,visit,77,DELIVERY_PASSENGER,12.1578,12.2078,11.9886,13.9886,0.0,
81,5,visit,38,DELIVERY_PASSENGER,12.5084,12.5584,12.0254,14.0254,0.0,
82,5,visit,52,DELIVERY_PASSENGER,12.6785,12.7285,12.2082,14.2082,0.0,
83,5,visit,83,PICKUP_PASSENGER,13.1619,13.2119,12.9412,13.9412,0.0,
84,5,visit,97,PICKUP_CARGO,13.4761,13.5261,12.4768,13.4768,0.0,
85,5,visit,53,PICKUP_CARGO,13.6926,13.7426,11.6019,12.6019,65.44,
86,5,visit,83,DELIVERY_PASSENGER,13.8922,13.9422,13.1751,15.1751,0.0,
87,5,visit,53,DELIVERY_CARGO,14.0948,14.1448,11.679,13.679,24.95,
88,5,visit,97,DELIVERY_CARGO,14.2854,14.3354,12.5785,14.5785,0.0,
90,6,visit,94,PICKUP_PASSENGER,12.465,12.515,12.465,13.465,0.0,
91,6,visit,57,PICKUP_PASSENGER,12.5497,12.5997,11.6216,12.6216,0.0,
92,6,visit,5,PICKUP_CARGO,12.7705,12.8205,11.7094,12.7094,3.67,
93,6,visit,95,PICKUP_CARGO,12.9264,12.9764,10.7404,11.7404,71.16,
94,6,visit,94,DELIVERY_PASSENGER,13.1246,13.1746,12.6585,14.6585,0.0,
95,6,visit,57,DELIVERY_PASSENGER,13.3247,13.3747,11.909,13.909,0.0,
96,6,visit,37,PICKUP_CARGO,13.631,13.681,11.5711,12.5711,63.59,
97,6,visit,44,PICKUP_CARGO,13.9058,13.9558,10.4804,11.4804,145.52,
98,6,visit,30,PICKUP_CARGO,14.1637,14.2137,10.6922,11.6922,148.29,
99,6,visit,79,PICKUP_CARGO,14.3291,14.3791,11.326,12.326,120.19,
100,6,visit,30,DELIVERY_CARGO,14.479,14.529,10.785,12.785,101.64,
101,6,visit,79,DELIVERY_CARGO,14.6088,14.6588,11.5456,13.5456,63.79,
102,6,visit,44,DELIVERY_CARGO,14.7798,14.8298,10.6446,12.6446,128.11,
103,6,visit,37,DELIVERY_CARGO,14.8671,14.9171,11.8189,13.8189,62.9,
104,6,visit,95,DELIVERY_CARGO,14.9502,15.0002,10.8976,12.8976,123.16,
105,6,visit,5,DELIVERY_CARGO,15.088,15.138,11.8176,13.8176,76.23,
107,7,visit,81,PICKUP_PASSENGER,11.4883,11.5383,11.4883,12.4883,0.0,
108,7,visit,20,PICKUP_PASSENGER,11.6687,11.7187,11.5327,12.5327,0.0,
109,7,visit,51,PICKUP_PASSENGER,11.8053,11.8553,11.411,12.411,0.0,
110,7,visit,13,PICKUP_CARGO,11.9168,11.9668,10.8164,11.8164,6.03,
111,7,visit,81,DELIVERY_PASSENGER,12.1068,12.1568,11.6758,13.6758,0.0,
112,7,visit,20,DELIVERY_PASSENGER,12.3345,12.3845,11.7053,13.7053,0.0,
113,7,visit,51,DELIVERY_PASSENGER,12.5968,12.6468,11.7113,13.7113,0.0,
114,7,visit,31,PICKUP_CARGO,12.8819,12.9319,10.8781,11.8781,60.23,
115,7,visit,47,PICKUP_CARGO,13.1281,13.1781,10.8662,11.8662,75.72,
116,7,visit,29,PICKUP_CARGO,13.2002,13.2502,10.4845,11.4845,102.94,
117,7,visit,18,PICKUP_CARGO,13.2897,13.3397,11.3765,12.3765,54.79,
118,7,visit,18,DELIVERY_CARGO,13.4189,13.4689,11.5058,13.5058,0.0,
119,7,visit,29,DELIVERY_CARGO,13.5316,13.5816,10.5901,12.5901,56.49,
120,7,visit,47,DELIVERY_CARGO,13.6598,13.7098,10.9536,12.9536,42.37,
121,7,visit,13,DELIVERY_CARGO,13.7599,13.8099,10.9237,12.9237,50.17,
122,7,visit,31,DELIVERY_CARGO,13.9627,14.0127,11.0718,13.0718,53.45,
124,8,visit,75,PICKUP_PASSENGER,11.3853,11.4353,11.3853,12.3853,0.0,
125,8,visit,14,PICKUP_PASSENGER,11.6591,11.7091,11.0654,12.0654,0.0,
126,8,visit,45,PICKUP_PASSENGER,11.7285,11.7785,10.7645,11.7645,0.0,
127,8,visit,75,DELIVERY_PASSENGER,11.8432,11.8932,11.6731,13.6731,0.0,
128,8,visit,14,DELIVERY_PASSENGER,12.0856,12.1356,11.2801,13.2801,0.0,
129,8,visit,45,DELIVERY_PASSENGER,12.388,12.438,11.0325,13.0325,0.0,
130,8,visit,17,PICKUP_CARGO,13.3331,13.3831,13.3331,14.3331,0.0,
131,8,visit,17,DELIVERY_CARGO,13.5493,13.5993,13.5493,15.5493,0.0,
133,9,visit,76,PICKUP_PASSENGER,11.3922,11.4422,11.3922,12.3922,0.0,
134,9,visit,50,PICKUP_PASSENGER,11.6666,11.7166,11.2533,12.2533,0.0,
135,9,visit,54,PICKUP_PASSENGER,11.9053,11.9553,11.4181,12.4181,0.0,
136,9,visit,76,DELIVERY_PASSENGER,12.113,12.163,11.6133,13.6133,0.0,
137,9,visit,10,PICKUP_CARGO,12.291,12.341,11.4525,12.4525,0.0,
138,9,visit,50,DELIVERY_PASSENGER,12.4243,12.4743,11.5304,13.5304,0.0,
139,9,visit,62,PICKUP_CARGO,12.5604,12.6104,11.4289,12.4289,7.89,
140,9,visit,54,DELIVERY_PASSENGER,12.6809,12.7309,11.7222,13.7222,0.0,
141,9,visit,86,PICKUP_CARGO,12.9637,13.0137,10.5241,11.5241,86.37,
142,9,visit,86,DELIVERY_CARGO,13.2257,13.2757,10.7862,12.7862,26.37,
143,9,visit,10,DELIVERY_CARGO,13.3532,13.4032,11.5555,13.5555,0.0,
144,9,visit,62,DELIVERY_CARGO,13.8263,13.8763,11.8556,13.8556,0.0,
146,10,visit,71,PICKUP_PASSENGER,10.8917,10.9417,10.8917,11.8917,0.0,
147,10,visit,15,PICKUP_PASSENGER,11.0448,11.0948,10.7146,11.7146,0.0,
148,10,visit,71,DELIVERY_PASSENGER,11.547,11.597,11.3059,13.3059,0.0,
149,10,visit,15,DELIVERY_PASSENGER,11.7631,11.8131,11.0739,13.0739,0.0,
150,10,visit,84,PICKUP_PASSENGER,12.1429,12.1929,11.2913,12.2913,0.0,
151,10,visit,16,PICKUP_CARGO,12.5691,12.6191,12.1217,13.1217,0.0,
152,10,visit,84,DELIVERY_PASSENGER,12.8438,12.8938,11.5239,13.5239,0.0,
153,10,visit,16,DELIVERY_CARGO,13.3376,13.3876,12.4144,14.4144,0.0,
155,11,visit,58,PICKUP_PASSENGER,11.0772,11.1272,11.0772,12.0772,0.0,
156,11,visit,61,PICKUP_PASSENGER,11.409,11.459,10.7211,11.7211,0.0,
157,11,visit,61,DELIVERY_PASSENGER,11.5989,11.6489,10.911,12.911,0.0,
158,11,visit,58,DELIVERY_PASSENGER,11.7291,11.7791,11.2772,13.2772,0.0,
159,11,visit,82,PICKUP_PASSENGER,12.1206,12.1706,11.2263,12.2263,0.0,
160,11,visit,56,PICKUP_CARGO,12.5005,12.5505,10.6868,11.6868,48.82,
161,11,visit,82,DELIVERY_PASSENGER,12.7654,12.8154,11.4152,13.4152,0.0,
162,11,visit,56,DELIVERY_CARGO,13.0959,13.1459,10.8239,12.8239,16.32,
163,11,visit,65,PICKUP_CARGO,13.404,13.454,12.309,13.309,5.7,
164,11,visit,65,DELIVERY_CARGO,13.5748,13.6248,12.4797,14.4797,0.0,
166,12,visit,70,PICKUP_PASSENGER,11.1552,11.2052,11.1552,12.1552,0.0,
167,12,visit,55,PICKUP_PASSENGER,11.2084,11.2584,11.0028,12.0028,0.0,
168,12,visit,49,PICKUP_PASSENGER,11.3322,11.3822,10.5511,11.5511,0.0,
169,12,visit,70,DELIVERY_PASSENGER,11.5342,11.5842,11.332,13.332,0.0,
170,12,visit,49,DELIVERY_PASSENGER,11.8015,11.8515,10.7259,12.7259,0.0,
171,12,visit,55,DELIVERY_PASSENGER,11.9015,11.9515,11.2065,13.2065,0.0,
172,12,visit,88,PICKUP_CARGO,12.2192,12.2692,11.8776,12.8776,0.0,
173,12,visit,11,PICKUP_CARGO,12.6404,12.6904,10.5594,11.5594,64.86,
174,12,visit,11,DELIVERY_CARGO,13.0601,13.1101,10.979,12.979,4.86,
175,12,visit,88,DELIVERY_CARGO,13.1699,13.2199,11.9572,13.9572,0.0,
177,13,visit,8,PICKUP_PASSENGER,10.9037,10.9537,10.9037,11.9037,0.0,
178,13,visit,19,PICKUP_PASSENGER,11.1872,11.2372,10.2725,11.2725,0.0,
179,13,visit,19,DELIVERY_PASSENGER,11.4152,11.4652,10.5006,12.5006,0.0,
180,13,visit,8,DELIVERY_PASSENGER,11.6204,11.6704,11.3661,13.3661,0.0,
182,14,visit,6,PICKUP_PASSENGER,10.6386,10.6886,10.6386,11.6386,0.0,
183,14,visit,60,PICKUP_PASSENGER,10.8227,10.8727,10.3605,11.3605,0.0,
184,14,visit,60,DELIVERY_PASSENGER,11.0081,11.0581,10.546,12.546,0.0,
185,14,visit,6,DELIVERY_PASSENGER,11.3961,11.4461,10.9134,12.9134,0.0,
186,14,visit,80,PICKUP_PASSENGER,11.7525,11.8025,10.7942,11.7942,0.0,
187,14,visit,80,DELIVERY_PASSENGER,11.9876,12.0376,11.0293,13.0293,0.0,
189,15,visit,42,PICKUP_PASSENGER,10.3574,10.4074,10.3574,11.3574,0.0,
190,15,visit,96,PICKUP_PASSENGER,10.5317,10.5817,10.3533,11.3533,0.0,
191,15,visit,42,DELIVERY_PASSENGER,10.8527,10.9027,10.5597,12.5597,0.0,
192,15,visit,96,DELIVERY_PASSENGER,11.0132,11.0632,10.6232,12.6232,0.0,
193,15,visit,98,PICKUP_PASSENGER,11.3039,11.3539,10.6689,11.6689,0.0,
194,15,visit,22,PICKUP_PASSENGER,11.3701,11.4201,10.5344,11.5344,0.0,
195,15,visit,22,DELIVERY_PASSENGER,11.5749,11.6249,10.7392,12.7392,0.0,
196,15,visit,98,DELIVERY_PASSENGER,11.8768,11.9268,10.8937,12.8937,0.0,
198,16,visit,36,PICKUP_PASSENGER,10.2693,10.3193,10.2693,11.2693,0.0,
199,16,visit,28,PICKUP_PASSENGER,10.5966,10.6466,10.5196,11.5196,0.0,
200,16,visit,25,PICKUP_PASSENGER,10.6856,10.7356,10.2343,11.2343,0.0,
201,16,visit,36,DELIVERY_PASSENGER,10.957,11.007,10.5612,12.5612,0.0,
202,16,visit,28,DELIVERY_PASSENGER,11.0487,11.0987,10.7815,12.7815,0.0,
203,16,visit,25,DELIVERY_PASSENGER,11.2306,11.2806,10.4367,12.4367,0.0,
205,17,reject,,REJECT,10.0,10.0,,,,
206,17,reject,,REJECT,10.0,10.0,,,,
207,17,reject,,REJECT,10.0,10.0,,,,
208,17,reject,,REJECT,10.0,10.0,,,,
209,17,reject,,REJECT,10.0,10.0,,,,
210,17,reject,,REJECT,10.0,10.0,,,,
