vehicle_id,seq,动作,订单,类型,到达,服务开始,服务结束,时间窗,等待(min),延误(min),乘车(min),超额(min),标记
6,6,送 D75,75,乘客,12:08,12:08,12:11,11:40-13:40,0,0,42.1,27.9,⚠超额违规
6,7,取 P81,81,乘客,12:12,12:12,12:15,11:29-12:29,0,0,—,—,—
6,8,取 P20,20,乘客,12:22,12:22,12:25,11:32-12:32,0,0,—,—,—
6,9,送 D81,81,乘客,12:34,12:34,12:37,11:41-13:41,0,0,19.7,11.5,⚠超额违规
6,10,送 D51,51,乘客,12:47,12:47,12:50,11:43-13:43,0,0,42.3,27.3,⚠超额违规
6,11,送 D20,20,乘客,13:03,13:03,13:06,11:42-13:42,0,0,37.1,29.8,⚠超额违规
6,12,送 D56,56,货物,13:18,13:18,13:21,10:49-12:49,0,29.0,—,—,⚠迟到
6,13,取 P64,64,货物,13:27,13:27,13:30,13:17-14:17,0,0,—,—,—
6,14,送 D64,64,货物,13:44,13:44,13:47,13:34-15:34,0,0,—,—,—
7,1,取 P77,77,乘客,10:13,11:47,11:50,11:47-12:47,93.5,0,—,—,—
7,2,取 P71,71,乘客,11:52,11:52,11:55,10:54-11:54,0,0,—,—,—
7,3,取 P14,14,乘客,11:56,11:56,11:59,11:04-12:04,0,0,—,—,—
7,4,取 P18,18,货物,12:04,12:04,12:07,11:23-12:23,0,0,—,—,—
7,5,送 D77,77,乘客,12:12,12:12,12:15,11:59-13:59,0,0,21.8,12.3,⚠超额违规
7,6,送 D14,14,乘客,12:20,12:20,12:23,11:17-13:17,0,0,21.0,11.1,⚠超额违规
7,7,取 P3,3,货物,12:35,12:35,12:38,11:58-12:58,0,0,—,—,—
7,8,送 D71,71,乘客,12:46,12:46,12:49,11:18-13:18,0,0,51.8,30.0,⚠超额违规
7,9,送 D18,18,货物,13:14,13:14,13:17,11:30-13:30,0,0,—,—,—
7,10,送 D3,3,货物,13:29,13:29,13:32,12:06-14:06,0,0,—,—,—
7,11,取 P17,17,货物,13:43,13:43,13:46,13:20-14:20,0,0,—,—,—
7,12,送 D17,17,货物,13:56,13:56,13:59,13:33-15:33,0,0,—,—,—
8,1,取 P60,60,乘客,10:07,10:22,10:25,10:22-11:22,14.1,0,—,—,—
8,2,取 P19,19,乘客,10:32,10:32,10:35,10:16-11:16,0,0,—,—,—
8,3,送 D60,60,乘客,10:48,10:48,10:51,10:33-12:33,0,0,23.4,15.3,⚠超额违规
8,4,送 D19,19,乘客,11:15,11:15,11:18,10:30-12:30,0,0,39.8,29.1,⚠超额违规
8,5,取 P6,6,乘客,11:36,11:36,11:39,10:38-11:38,0,0,—,—,—
8,6,取 P55,55,乘客,11:52,11:52,11:55,11:00-12:00,0,0,—,—,—
8,7,取 P10,10,货物,12:02,12:02,12:05,11:27-12:27,0,0,—,—,—
8,8,送 D6,6,乘客,12:13,12:13,12:16,10:55-12:55,0,0,33.6,20.1,⚠超额违规
8,9,送 D55,55,乘客,12:24,12:24,12:27,11:12-13:12,0,0,29.1,19.8,⚠超额违规
8,10,送 D10,10,货物,12:35,12:35,12:38,11:33-13:33,0,0,—,—,—
8,11,取 P97,97,货物,12:52,12:52,12:55,12:29-13:29,0,0,—,—,—
8,12,送 D97,97,货物,12:58,12:58,13:01,12:35-14:35,0,0,—,—,—
9,1,取 P8,8,乘客,10:15,10:54,10:57,10:54-11:54,38.9,0,—,—,—
9,2,取 P42,42,乘客,11:13,11:13,11:16,10:21-11:21,0,0,—,—,—
9,3,取 P95,95,货物,11:22,11:22,11:25,10:44-11:44,0,0,—,—,—
9,4,送 D42,42,乘客,11:31,11:31,11:34,10:34-12:34,0,0,15.5,6.3,⚠超额违规
9,5,送 D8,8,乘客,11:49,11:49,11:52,11:22-13:22,0,0,52.0,27.2,⚠超额违规
9,6,送 D95,95,货物,12:14,12:14,12:17,10:54-12:54,0,0,—,—,—
9,7,取 P53,53,货物,12:25,12:25,12:28,11:36-12:36,0,0,—,—,—
9,8,送 D53,53,货物,12:30,12:30,12:33,11:41-13:41,0,0,—,—,—
9,9,取 P16,16,货物,12:57,12:57,13:00,12:07-13:07,0,0,—,—,—
9,10,送 D16,16,货物,13:14,13:14,13:17,12:25-14:25,0,0,—,—,—
10,1,取 P50,50,乘客,10:06,11:15,11:18,11:15-12:15,69.3,0,—,—,—
10,2,取 P28,28,乘客,11:29,11:29,11:32,10:31-11:31,0,0,—,—,—
10,3,取 P62,62,货物,11:47,11:47,11:50,11:26-12:26,0,0,—,—,—
10,4,送 D50,50,乘客,11:55,11:55,11:58,11:32-13:32,0,0,36.8,23.2,⚠超额违规
10,5,送 D28,28,乘客,12:13,12:13,12:16,10:47-12:47,0,0,41.1,28.3,⚠超额违规
10,6,送 D62,62,货物,12:29,12:29,12:32,11:51-13:51,0,0,—,—,—
10,7,取 P92,92,货物,12:49,12:49,12:52,12:41-13:41,0,0,—,—,—
10,8,送 D92,92,货物,13:03,13:03,13:06,12:55-14:55,0,0,—,—,—
10,9,取 P59,59,货物,13:23,13:23,13:26,12:44-13:44,0,0,—,—,—
10,10,送 D59,59,货物,13:39,13:39,13:42,13:01-15:01,0,0,—,—,—
11,1,取 P58,58,乘客,10:14,11:05,11:08,11:05-12:05,51.0,0,—,—,—
11,2,取 P15,15,乘客,11:29,11:29,11:32,10:43-11:43,0,0,—,—,—
11,3,送 D58,58,乘客,11:46,11:46,11:49,11:17-13:17,0,0,37.9,28.9,⚠超额违规
11,4,送 D15,15,乘客,11:53,11:53,11:56,11:04-13:04,0,0,21.8,3.2,⚠超额违规
